String,Value,Remoteness
---------,Tie,9
x--------,Tie,8
xo-------,Win,5
-x-------,Tie,8
ox-------,Tie,7
x-o------,Win,5
-xo------,Tie,7
xxo------,Win,5
--x------,Tie,8
o-x------,Win,5
-ox------,Win,5
xox------,Tie,6
oxx------,Win,5
x--o-----,Win,5
-x-o-----,Win,5
xx-o-----,Lose,4
xxoo-----,Win,3
--xo-----,Win,5
x-xo-----,Lose,4
xoxo-----,Win,3
-xxo-----,Win,5
oxxo-----,Lose,4
---x-----,Tie,8
o--x-----,Tie,7
-o-x-----,Win,5
xo-x-----,Lose,4
ox-x-----,Tie,6
--ox-----,Win,5
x-ox-----,Lose,4
xoox-----,Win,1
-xox-----,Win,5
oxox-----,Win,3
o-xx-----,Tie,6
-oxx-----,Tie,6
ooxx-----,Win,3
x---o----,Tie,7
-x--o----,Tie,7
xx--o----,Tie,6
xxo-o----,Tie,5
--x-o----,Tie,7
x-x-o----,Tie,6
xox-o----,Tie,5
-xx-o----,Tie,6
oxx-o----,Tie,5
xx-oo----,Win,1
x-xoo----,Win,1
-xxoo----,Win,1
xxxoo----,Lose,0
---xo----,Tie,7
x--xo----,Tie,6
xo-xo----,Win,1
-x-xo----,Tie,6
ox-xo----,Tie,5
x-oxo----,Win,1
-xoxo----,Tie,5
xxoxo----,Win,1
--xxo----,Tie,6
o-xxo----,Tie,5
-oxxo----,Tie,5
xoxxo----,Win,1
oxxxo----,Win,1
----x----,Tie,8
o---x----,Tie,7
-o--x----,Win,5
xo--x----,Lose,4
ox--x----,Tie,6
--o-x----,Tie,7
x-o-x----,Tie,6
xoo-x----,Win,1
-xo-x----,Tie,6
oxo-x----,Win,1
o-x-x----,Tie,6
-ox-x----,Lose,4
oox-x----,Win,1
---ox----,Win,5
x--ox----,Lose,4
xo-ox----,Win,1
-x-ox----,Lose,4
ox-ox----,Win,1
x-oox----,Win,1
-xoox----,Win,1
xxoox----,Lose,2
--xox----,Lose,4
o-xox----,Win,1
-oxox----,Win,1
xoxox----,Lose,2
oxxox----,Win,1
o--xx----,Tie,6
-o-xx----,Lose,4
oo-xx----,Win,1
--oxx----,Tie,6
o-oxx----,Win,1
-ooxx----,Win,1
xooxx----,Lose,2
oxoxx----,Lose,2
ooxxx----,Lose,2
x----o---,Win,5
-x---o---,Win,5
xx---o---,Win,5
xxo--o---,Lose,4
--x--o---,Win,5
x-x--o---,Lose,4
xox--o---,Win,3
-xx--o---,Lose,4
oxx--o---,Win,3
xx-o-o---,Win,1
x-xo-o---,Win,1
-xxo-o---,Win,1
xxxo-o---,Lose,0
---x-o---,Tie,7
x--x-o---,Tie,6
xo-x-o---,Win,1
-x-x-o---,Tie,6
ox-x-o---,Tie,5
x-ox-o---,Win,1
-xox-o---,Win,5
xxox-o---,Win,1
--xx-o---,Tie,6
o-xx-o---,Tie,5
-oxx-o---,Win,3
xoxx-o---,Tie,4
oxxx-o---,Tie,4
xx--oo---,Win,1
x-x-oo---,Win,1
-xx-oo---,Win,1
xxx-oo---,Lose,0
x--xoo---,Win,1
-x-xoo---,Win,3
xx-xoo---,Lose,2
xxoxoo---,Win,1
--xxoo---,Win,3
x-xxoo---,Lose,2
xoxxoo---,Win,1
-xxxoo---,Tie,4
oxxxoo---,Tie,3
----xo---,Win,5
x---xo---,Lose,4
xo--xo---,Win,1
-x--xo---,Lose,4
ox--xo---,Win,1
x-o-xo---,Win,1
-xo-xo---,Win,1
xxo-xo---,Win,1
--x-xo---,Lose,4
o-x-xo---,Win,1
-ox-xo---,Win,1
xox-xo---,Lose,2
oxx-xo---,Lose,2
x--oxo---,Win,1
-x-oxo---,Win,1
xx-oxo---,Lose,2
xxooxo---,Win,1
--xoxo---,Win,1
x-xoxo---,Lose,2
xoxoxo---,Win,1
-xxoxo---,Lose,2
oxxoxo---,Win,1
---xxo---,Tie,6
o--xxo---,Tie,5
-o-xxo---,Win,3
xo-xxo---,Lose,2
ox-xxo---,Tie,4
--oxxo---,Tie,5
x-oxxo---,Win,1
xooxxo---,Win,1
-xoxxo---,Win,1
oxoxxo---,Win,1
o-xxxo---,Tie,4
-oxxxo---,Tie,4
ooxxxo---,Win,1
-----x---,Tie,8
o----x---,Win,5
-o---x---,Win,5
xo---x---,Tie,6
ox---x---,Win,5
--o--x---,Tie,7
x-o--x---,Tie,6
xoo--x---,Win,3
-xo--x---,Tie,6
oxo--x---,Win,3
o-x--x---,Lose,4
-ox--x---,Lose,4
oox--x---,Win,1
---o-x---,Tie,7
x--o-x---,Tie,6
xo-o-x---,Win,3
-x-o-x---,Tie,6
ox-o-x---,Win,5
x-oo-x---,Tie,5
-xoo-x---,Tie,5
xxoo-x---,Tie,4
--xo-x---,Tie,6
o-xo-x---,Win,1
-oxo-x---,Win,1
xoxo-x---,Tie,4
oxxo-x---,Win,1
o--x-x---,Win,5
-o-x-x---,Win,5
oo-x-x---,Win,1
--ox-x---,Win,5
o-ox-x---,Win,1
-oox-x---,Win,1
xoox-x---,Lose,2
oxox-x---,Win,3
ooxx-x---,Lose,2
----ox---,Tie,7
x---ox---,Tie,6
xo--ox---,Tie,5
-x--ox---,Tie,6
ox--ox---,Tie,5
x-o-ox---,Tie,5
-xo-ox---,Tie,5
xxo-ox---,Win,1
--x-ox---,Tie,6
o-x-ox---,Win,1
-ox-ox---,Win,1
xox-ox---,Win,1
oxx-ox---,Win,1
x--oox---,Win,3
-x-oox---,Win,3
xx-oox---,Tie,4
xxooox---,Tie,3
--xoox---,Win,1
x-xoox---,Lose,2
xoxoox---,Win,1
-xxoox---,Lose,2
oxxoox---,Win,1
---xox---,Win,5
o--xox---,Lose,4
-o-xox---,Lose,4
xo-xox---,Win,1
ox-xox---,Win,1
--oxox---,Lose,4
x-oxox---,Win,1
xooxox---,Win,1
-xoxox---,Win,1
oxoxox---,Lose,2
o-xxox---,Win,1
-oxxox---,Win,1
ooxxox---,Win,1
o---xx---,Tie,6
-o--xx---,Lose,4
oo--xx---,Win,1
--o-xx---,Tie,6
o-o-xx---,Win,1
-oo-xx---,Win,1
xoo-xx---,Lose,2
oxo-xx---,Lose,2
oox-xx---,Lose,2
---oxx---,Tie,6
o--oxx---,Tie,5
-o-oxx---,Win,3
xo-oxx---,Tie,4
ox-oxx---,Win,1
--ooxx---,Tie,5
x-ooxx---,Tie,4
xoooxx---,Win,1
-xooxx---,Tie,4
oxooxx---,Win,1
o-xoxx---,Win,1
-oxoxx---,Lose,2
ooxoxx---,Win,1
oo-xxx---,Lose,0
o-oxxx---,Lose,0
-ooxxx---,Lose,0
x-----o--,Win,5
-x----o--,Win,5
xx----o--,Lose,4
xxo---o--,Win,3
--x---o--,Win,5
x-x---o--,Lose,4
xox---o--,Win,3
-xx---o--,Win,5
oxx---o--,Lose,4
xx-o--o--,Win,1
x-xo--o--,Win,1
-xxo--o--,Win,1
xxxo--o--,Lose,0
---x--o--,Tie,7
x--x--o--,Win,5
xo-x--o--,Win,3
-x-x--o--,Win,5
ox-x--o--,Win,3
x-ox--o--,Win,3
-xox--o--,Win,3
xxox--o--,Win,1
--xx--o--,Tie,6
o-xx--o--,Win,3
-oxx--o--,Win,3
xoxx--o--,Win,3
oxxx--o--,Win,3
xx--o-o--,Win,1
x-x-o-o--,Win,1
-xx-o-o--,Win,1
xxx-o-o--,Lose,0
x--xo-o--,Tie,5
-x-xo-o--,Tie,5
xx-xo-o--,Win,1
xxoxo-o--,Lose,0
--xxo-o--,Tie,5
x-xxo-o--,Tie,4
xoxxo-o--,Tie,3
-xxxo-o--,Tie,4
oxxxo-o--,Tie,3
----x-o--,Tie,7
x---x-o--,Tie,6
xo--x-o--,Win,1
-x--x-o--,Tie,6
ox--x-o--,Win,1
x-o-x-o--,Win,1
-xo-x-o--,Win,1
xxo-x-o--,Lose,2
--x-x-o--,Tie,6
o-x-x-o--,Tie,5
-ox-x-o--,Win,3
xox-x-o--,Tie,4
oxx-x-o--,Win,1
x--ox-o--,Win,1
-x-ox-o--,Win,1
xx-ox-o--,Lose,2
xxoox-o--,Win,1
--xox-o--,Win,3
x-xox-o--,Lose,2
xoxox-o--,Win,1
-xxox-o--,Win,1
oxxox-o--,Lose,0
---xx-o--,Tie,6
o--xx-o--,Win,1
-o-xx-o--,Win,1
xo-xx-o--,Lose,2
ox-xx-o--,Lose,2
--oxx-o--,Win,1
x-oxx-o--,Lose,2
xooxx-o--,Win,1
-xoxx-o--,Lose,2
oxoxx-o--,Win,1
o-xxx-o--,Tie,4
-oxxx-o--,Tie,4
ooxxx-o--,Win,1
xx---oo--,Win,1
x-x--oo--,Win,1
-xx--oo--,Win,1
xxx--oo--,Lose,0
x--x-oo--,Tie,5
-x-x-oo--,Tie,5
xx-x-oo--,Win,3
xxox-oo--,Lose,2
--xx-oo--,Tie,5
x-xx-oo--,Tie,4
xoxx-oo--,Tie,3
-xxx-oo--,Tie,4
oxxx-oo--,Tie,3
xx-xooo--,Win,1
x-xxooo--,Win,1
-xxxooo--,Win,1
xxxxooo--,Lose,0
x---xoo--,Win,1
-x--xoo--,Win,1
xx--xoo--,Lose,2
xxo-xoo--,Win,1
--x-xoo--,Win,3
x-x-xoo--,Lose,2
xox-xoo--,Win,1
-xx-xoo--,Lose,2
oxx-xoo--,Win,1
xx-oxoo--,Win,1
x-xoxoo--,Win,1
-xxoxoo--,Win,1
xxxoxoo--,Lose,0
---xxoo--,Tie,5
x--xxoo--,Win,3
xo-xxoo--,Win,1
-x-xxoo--,Tie,4
ox-xxoo--,Win,1
x-oxxoo--,Win,1
-xoxxoo--,Win,1
xxoxxoo--,Win,1
--xxxoo--,Tie,4
o-xxxoo--,Tie,3
-oxxxoo--,Tie,3
xoxxxoo--,Tie,2
oxxxxoo--,Tie,2
-----xo--,Win,5
x----xo--,Tie,6
xo---xo--,Win,3
-x---xo--,Win,5
ox---xo--,Lose,4
x-o--xo--,Win,3
-xo--xo--,Win,3
xxo--xo--,Win,1
--x--xo--,Win,5
o-x--xo--,Win,1
-ox--xo--,Win,1
xox--xo--,Tie,4
oxx--xo--,Win,1
x--o-xo--,Win,3
-x-o-xo--,Win,5
xx-o-xo--,Lose,4
xxoo-xo--,Win,3
--xo-xo--,Win,1
x-xo-xo--,Lose,2
xoxo-xo--,Win,1
-xxo-xo--,Win,1
oxxo-xo--,Lose,0
---x-xo--,Win,5
