String,Delta Remoteness
---------,-3,0
x--------,-2,0
xoox-----,2,0
oxox-----,-2,0
x---o----,-1,0
-x--o----,-1,0
--x-o----,-1,0
---xo----,-1,0
----x----,-2,0
o---x----,-1,0
--o-x----,-1,0
xx-o-o---,2,0
x-xo-o---,2,0
-xxo-o---,2,0
xo-x-o---,2,0
x-ox-o---,2,0
-xox-o---,-2,0
-x-xoo---,-2,0
--xxoo---,-2,0
-o-xxo---,-2,0
oxo--x---,-2,0
oox--x---,2,0
ox-o-x---,-2,0
o-xo-x---,2,0
-oxo-x---,2,0
oo-x-x---,2,0
-oox-x---,2,0
oxox-x---,-2,0
----ox---,-1,0
x--oox---,-2,0
-x-oox---,-2,0
-o-oxx---,-2,0
xxo---o--,-2,0
xox---o--,-2,0
xx-o--o--,2,0
-xxo--o--,2,0
---x--o--,-1,0
ox-x--o--,-2,0
x-ox--o--,-2,0
-xox--o--,-2,0
o-xx--o--,-2,0
xoxx--o--,-2,0
oxxx--o--,-2,0
----x-o--,-1,0
-ox-x-o--,-2,0
--xox-o--,-2,0
xx---oo--,2,0
-xx--oo--,2,0
xx-x-oo--,-2,0
--x-xoo--,-2,0
x--xxoo--,-2,0
x-o--xo--,-2,0
-xo--xo--,-2,0
-ox--xo--,2,0
-x-o-xo--,-2,0
xxoo-xo--,-2,0
--xo-xo--,2,0
-o-x-xo--,2,0
xo-x-xo--,-2,0
ox-x-xo--,-2,0
x---oxo--,-2,0
-x--oxo--,-2,0
--xxoxo--,-2,0
------x--,-2,0
oxo---x--,-2,0
x-oo--x--,-2,0
xxoo--x--,-2,0
-oxo--x--,2,0
xoxo--x--,-2,0
oxxo--x--,-2,0
-oox--x--,2,0
oxox--x--,-2,0
ooxx--x--,-2,0
----o-x--,-1,0
o-x-o-x--,-2,0
-oo-x-x--,-2,0
--oox-x--,-2,0
xo---ox--,2,0
-xo--ox--,-2,0
-ox--ox--,2,0
oxx--ox--,-2,0
--xo-ox--,2,0
-o-x-ox--,2,0
ox-x-ox--,-2,0
--ox-ox--,2,0
--o-xox--,-2,0
o--xxox--,-2,0
-oo--xx--,-2,0
xooo-xx--,-2,0
oxoo-xx--,-2,0
o---oxx--,-2,0
---ooxx--,-2,0
ox-ooxx--,-2,0
--oxoxx--,-2,0
xx-o---o-,2,0
x-xo---o-,2,0
-xxo---o-,2,0
xo-x---o-,2,0
x-ox---o-,2,0
xxox---o-,-2,0
oxxx---o-,-2,0
-x-xo--o-,-2,0
xxo-x--o-,-2,0
oxx-x--o-,-2,0
-x-ox--o-,-2,0
xx---o-o-,2,0
x-x--o-o-,2,0
-xx--o-o-,2,0
x--x-o-o-,2,0
-x--xo-o-,-2,0
---xxo-o-,-2,0
-x-xxo-o-,-2,0
xxo--x-o-,-2,0
o-x--x-o-,2,0
-ox--x-o-,2,0
oxx--x-o-,-2,0
--xo-x-o-,2,0
o--x-x-o-,2,0
-o-x-x-o-,2,0
--ox-x-o-,2,0
-x--ox-o-,-2,0
-x-xox-o-,-2,0
---oxx-o-,-2,0
-x-oxx-o-,-2,0
xx----oo-,2,0
-xx---oo-,2,0
-x-x--oo-,-2,0
--xx--oo-,-2,0
--x-x-oo-,-2,0
-x---xoo-,-2,0
--x--xoo-,2,0
---x-xoo-,2,0
xo----xo-,2,0
-ox---xo-,2,0
--xo--xo-,2,0
-o-x--xo-,2,0
--ox--xo-,2,0
o-xx--xo-,-2,0
-x--o-xo-,-2,0
--o-x-xo-,-2,0
x----oxo-,2,0
--x--oxo-,2,0
---x-oxo-,2,0
xo-o-xxo-,-2,0
ox-o-xxo-,-2,0
o--x-xxo-,-2,0
-x-ooxxo-,-2,0
ox-o---x-,2,0
-xoo---x-,2,0
xxoo---x-,-2,0
oo-x---x-,-2,0
-oox---x-,-2,0
oxox---x-,-2,0
----o--x-,-1,0
xo--o--x-,-2,0
x-o-o--x-,-2,0
o-x-o--x-,-2,0
-ox-o--x-,-2,0
-o-xo--x-,-2,0
--oxo--x-,-2,0
ooxxo--x-,-2,0
-o-ox--x-,-2,0
ox---o-x-,2,0
-xo--o-x-,2,0
oxx--o-x-,-2,0
-x-o-o-x-,2,0
xoxo-o-x-,-2,0
--ox-o-x-,-2,0
ooxx-o-x-,-2,0
---xoo-x-,-2,0
-x-xoo-x-,-2,0
-oxxoo-x-,-2,0
-o--xo-x-,-2,0
-o-xxo-x-,-2,0
oo---x-x-,-2,0
-oo--x-x-,-2,0
oxo--x-x-,-2,0
o--o-x-x-,-2,0
xooo-x-x-,-2,0
o---ox-x-,-2,0
-o--ox-x-,-2,0
xoo-ox-x-,-2,0
---oox-x-,-2,0
xo-oox-x-,-2,0
-x-oox-x-,-2,0
-o-xox-x-,-2,0
-o-oxx-x-,-2,0
------ox-,-1,0
x-o---ox-,-2,0
-x-o--ox-,2,0
--xo--ox-,-2,0
xoxo--ox-,-2,0
o--x--ox-,-2,0
ox-x--ox-,-2,0
--ox--ox-,-2,0
xoox--ox-,-2,0
ooxx--ox-,-2,0
-xx-o-ox-,-2,0
-x---oox-,2,0
x--x-oox-,-2,0
--o--xox-,-2,0
xoo--xox-,-2,0
---o-xox-,-2,0
xo-o-xox-,-2,0
x-oo-xox-,-2,0
o--x-xox-,-2,0
x--ooxox-,-2,0
oo----xx-,2,0
-oo---xx-,2,0
o--o--xx-,2,0
-o-o--xx-,2,0
--oo--xx-,2,0
-xo-o-xx-,-2,0
