String,Delta Value,Delta Remoteness
---------,0,-3
x--------,0,-2
-x-------,-2,-3
ox-------,-2,-2
-xo------,-2,-2
--x------,-2,-3
xox------,-2,-1
xx-o-----,-1,1
x-xo-----,-1,1
oxxo-----,-1,-1
---x-----,-2,-3
o--x-----,-2,-2
xo-x-----,-1,1
ox-x-----,-2,-1
x-ox-----,-1,1
xoox-----,0,2
oxox-----,0,-2
o-xx-----,-2,-1
-oxx-----,-2,-1
x---o----,0,-1
-x--o----,0,-1
xxo-o----,-2,-4
--x-o----,0,-1
xox-o----,-2,-4
oxx-o----,-2,-4
xxxoo----,-1,1
---xo----,0,-1
ox-xo----,-2,-4
-xoxo----,-2,-4
o-xxo----,-2,-4
-oxxo----,-2,-4
----x----,0,-2
o---x----,0,-1
-o--x----,2,1
xo--x----,1,2
--o-x----,0,-1
-ox-x----,1,2
---ox----,2,1
x--ox----,1,2
-x-ox----,1,2
xxoox----,-1,-1
--xox----,1,2
xoxox----,-1,-1
-o-xx----,1,2
xooxx----,-1,-1
oxoxx----,-1,-1
ooxxx----,-1,-1
xxo--o---,-1,-1
x-x--o---,-1,1
-xx--o---,-1,1
xx-o-o---,0,2
x-xo-o---,0,2
-xxo-o---,0,2
xxxo-o---,-1,1
---x-o---,-2,-2
x--x-o---,-2,-1
xo-x-o---,0,2
-x-x-o---,-2,-1
ox-x-o---,-2,-2
x-ox-o---,0,2
-xox-o---,0,-2
--xx-o---,-2,-1
o-xx-o---,-2,-2
xoxx-o---,-2,-3
oxxx-o---,-2,-3
xxx-oo---,-1,1
-x-xoo---,0,-2
xx-xoo---,-1,-1
--xxoo---,0,-2
x-xxoo---,-1,-1
-xxxoo---,-2,-3
oxxxoo---,-2,-2
----xo---,2,1
x---xo---,1,2
-x--xo---,1,2
--x-xo---,1,2
xox-xo---,-1,-1
oxx-xo---,-1,-1
xx-oxo---,-1,-1
x-xoxo---,-1,-1
-xxoxo---,-1,-1
o--xxo---,-2,-4
-o-xxo---,0,-2
xo-xxo---,-1,-1
ox-xxo---,-2,-3
--oxxo---,-2,-4
o-xxxo---,-2,-3
-oxxxo---,-2,-3
-----x---,-2,-3
xo---x---,-2,-1
--o--x---,-2,-2
x-o--x---,-2,-1
-xo--x---,-2,-1
oxo--x---,0,-2
o-x--x---,-1,1
-ox--x---,-1,1
oox--x---,0,2
---o-x---,-2,-2
x--o-x---,-2,-1
-x-o-x---,-2,-1
ox-o-x---,0,-2
x-oo-x---,-2,-2
-xoo-x---,-2,-2
xxoo-x---,-2,-3
--xo-x---,-2,-1
o-xo-x---,0,2
-oxo-x---,0,2
xoxo-x---,-2,-3
oo-x-x---,0,2
-oox-x---,0,2
xoox-x---,-1,-1
oxox-x---,0,-2
ooxx-x---,-1,-1
----ox---,0,-1
xo--ox---,-2,-4
ox--ox---,-2,-4
x-o-ox---,-2,-4
-xo-ox---,-2,-4
x--oox---,0,-2
-x-oox---,0,-2
xx-oox---,-2,-3
xxooox---,-2,-2
x-xoox---,-1,-1
-xxoox---,-1,-1
---xox---,2,1
o--xox---,-1,-3
-o-xox---,-1,-3
--oxox---,-1,-3
oxoxox---,-1,-1
-o--xx---,1,2
xoo-xx---,-1,-1
oxo-xx---,-1,-1
oox-xx---,-1,-1
o--oxx---,-2,-4
-o-oxx---,0,-2
xo-oxx---,-2,-3
--ooxx---,-2,-4
x-ooxx---,-2,-3
-xooxx---,-2,-3
-oxoxx---,-1,-1
oo-xxx---,-1,1
o-oxxx---,-1,1
-ooxxx---,-1,1
x-----o--,2,1
-x----o--,2,1
xx----o--,1,2
xxo---o--,0,-2
--x---o--,2,1
xox---o--,0,-2
-xx---o--,2,1
oxx---o--,-1,-3
xx-o--o--,0,2
-xxo--o--,0,2
xxxo--o--,-1,1
---x--o--,0,-1
ox-x--o--,0,-2
x-ox--o--,0,-2
-xox--o--,0,-2
--xx--o--,-2,-1
o-xx--o--,0,-2
xoxx--o--,0,-2
oxxx--o--,0,-2
xxx-o-o--,-1,1
x--xo-o--,-2,-4
-x-xo-o--,-2,-4
xxoxo-o--,-1,1
--xxo-o--,-2,-4
x-xxo-o--,-2,-3
xoxxo-o--,-2,-2
-xxxo-o--,-2,-3
oxxxo-o--,-2,-2
----x-o--,0,-1
xxo-x-o--,-1,-1
o-x-x-o--,-2,-4
-ox-x-o--,0,-2
xox-x-o--,-2,-3
xx-ox-o--,-1,-1
--xox-o--,0,-2
x-xox-o--,-1,-1
oxxox-o--,-1,1
xo-xx-o--,-1,-1
ox-xx-o--,-1,-1
x-oxx-o--,-1,-1
-xoxx-o--,-1,-1
o-xxx-o--,-2,-3
-oxxx-o--,-2,-3
xx---oo--,0,2
-xx--oo--,0,2
xxx--oo--,-1,1
x--x-oo--,-2,-2
-x-x-oo--,-2,-2
xx-x-oo--,0,-2
xxox-oo--,-1,-1
--xx-oo--,-2,-2
x-xx-oo--,-2,-3
xoxx-oo--,-2,-2
-xxx-oo--,-2,-3
oxxx-oo--,-2,-2
xxxxooo--,-1,1
xx--xoo--,-1,-1
--x-xoo--,0,-2
x-x-xoo--,-1,-1
