Tic-Tac-Toe
Position,Value,Remoteness
0,T,9
2,T,8
5,W,5
6,T,8
7,T,7
11,W,5
15,T,7
17,W,5
18,T,8
19,W,5
21,W,5
23,T,6
25,W,5
29,W,5
33,W,5
35,L,4
44,W,3
45,W,5
47,L,4
50,W,3
51,W,5
52,L,4
54,T,8
55,T,7
57,W,5
59,L,4
61,T,6
63,W,5
65,L,4
68,W,1
69,W,5
70,W,3
73,T,6
75,T,6
76,W,3
83,T,7
87,T,7
89,T,6
98,T,5
99,T,7
101,T,6
104,T,5
105,T,6
106,T,5
116,W,1
128,W,1
132,W,1
134,L,0
135,T,7
137,T,6
140,W,1
141,T,6
142,T,5
146,W,1
150,T,5
152,W,1
153,T,6
154,T,5
156,T,5
158,W,1
160,W,1
162,T,8
163,T,7
165,W,5
167,L,4
169,T,6
171,T,7
173,T,6
176,W,1
177,T,6
178,W,1
181,T,6
183,L,4
184,W,1
189,W,5
191,L,4
194,W,1
195,L,4
196,W,1
200,W,1
204,W,1
206,L,2
207,L,4
208,W,1
210,W,1
212,L,2
214,W,1
217,T,6
219,L,4
220,W,1
225,T,6
226,W,1
228,W,1
230,L,2
232,L,2
238,L,2
245,W,5
249,W,5
251,W,5
260,L,4
261,W,5
263,L,4
266,W,3
267,L,4
268,W,3
278,W,1
290,W,1
294,W,1
296,L,0
297,T,7
299,T,6
302,W,1
303,T,6
304,T,5
308,W,1
312,W,5
314,W,1
315,T,6
316,T,5
318,W,3
320,T,4
322,T,4
332,W,1
344,W,1
348,W,1
350,L,0
380,W,1
384,W,3
386,L,2
395,W,1
396,W,3
398,L,2
401,W,1
402,T,4
403,T,3
405,W,5
407,L,4
410,W,1
411,L,4
412,W,1
416,W,1
420,W,1
422,W,1
423,L,4
424,W,1
426,W,1
428,L,2
430,L,2
434,W,1
438,W,1
440,L,2
449,W,1
450,W,1
452,L,2
455,W,1
456,L,2
457,W,1
459,T,6
460,T,5
462,W,3
464,L,2
466,T,4
468,T,5
470,W,1
473,W,1
474,W,1
475,W,1
478,T,4
480,T,4
481,W,1
486,T,8
487,W,5
489,W,5
491,T,6
493,W,5
495,T,7
497,T,6
500,W,3
501,T,6
502,W,3
505,L,4
507,L,4
508,W,1
513,T,7
515,T,6
518,W,3
519,T,6
520,W,5
524,T,5
528,T,5
530,T,4
531,T,6
532,W,1
534,W,1
536,T,4
538,W,1
541,W,5
543,W,5
544,W,1
549,W,5
550,W,1
552,W,1
554,L,2
556,W,3
562,L,2
567,T,7
569,T,6
572,T,5
573,T,6
574,T,5
578,T,5
582,T,5
584,W,1
585,T,6
586,W,1
588,W,1
590,W,1
592,W,1
596,W,3
600,W,3
602,T,4
611,T,3
612,W,1
614,L,2
617,W,1
618,L,2
619,W,1
621,W,5
622,L,4
624,L,4
626,W,1
628,W,1
630,L,4
632,W,1
635,W,1
636,W,1
637,L,2
640,W,1
642,W,1
643,W,1
649,T,6
651,L,4
652,W,1
657,T,6
658,W,1
660,W,1
662,L,2
664,L,2
670,L,2
675,T,6
676,T,5
678,W,3
680,T,4
682,W,1
684,T,5
686,T,4
689,W,1
690,T,4
691,W,1
694,W,1
696,L,2
697,W,1
706,L,0
712,L,0
714,L,0
731,W,5
735,W,5
737,L,4
746,W,3
747,W,5
749,L,4
752,W,3
753,W,5
754,L,4
764,W,1
776,W,1
780,W,1
782,L,0
783,T,7
785,W,5
788,W,3
789,W,5
790,W,3
794,W,3
798,W,3
800,W,1
801,T,6
802,W,3
804,W,3
806,W,3
808,W,3
818,W,1
830,W,1
834,W,1
836,L,0
866,T,5
870,T,5
872,W,1
881,L,0
882,T,5
884,T,4
887,T,3
888,T,4
889,T,3
891,T,7
893,T,6
896,W,1
897,T,6
898,W,1
902,W,1
906,W,1
908,L,2
909,T,6
910,T,5
912,W,3
914,T,4
916,W,1
920,W,1
924,W,1
926,L,2
935,W,1
936,W,3
938,L,2
941,W,1
942,W,1
943,L,0
945,T,6
946,W,1
948,W,1
950,L,2
952,L,2
954,W,1
956,L,2
959,W,1
960,L,2
961,W,1
964,T,4
966,T,4
967,W,1
980,W,1
992,W,1
996,W,1
998,L,0
1028,T,5
1032,T,5
1034,W,3
1043,L,2
1044,T,5
1046,T,4
1049,T,3
1050,T,4
1051,T,3
1115,W,1
1127,W,1
1131,W,1
1133,L,0
1136,W,1
1140,W,1
1142,L,2
1151,W,1
1152,W,3
1154,L,2
1157,W,1
1158,L,2
1159,W,1
1169,W,1
1181,W,1
1185,W,1
1187,L,0
1188,T,5
1190,W,3
1193,W,1
1194,T,4
1195,W,1
1199,W,1
1203,W,1
1205,W,1
1206,T,4
1207,T,3
1209,T,3
1211,T,2
1213,T,2
1215,W,5
1217,T,6
1220,W,3
1221,W,5
1222,L,4
1226,W,3
1230,W,3
1232,W,1
1233,W,5
1234,W,1
1236,W,1
1238,T,4
1240,W,1
1244,W,3
1248,W,5
1250,L,4
1259,W,3
1260,W,1
1262,L,2
1265,W,1
1266,W,1
1267,L,0
1269,W,5
1270,W,1
1272,W,1
1274,W,3
1276,W,3
1278,W,1
1280,W,1
1283,W,1
1284,W,1
1285,W,1
1288,L,2
1290,L,2
1291,W,1
1298,W,3
1302,W,3
1304,W,1
1313,L,0
1314,W,1
1316,L,2
1319,W,1
1320,L,2
1321,W,1
1331,W,1
1343,W,1
1347,W,1
1349,L,0
1350,L,4
1352,W,1
1355,L,2
1356,W,1
1357,L,2
1361,L,0
1365,L,0
1368,W,3
1369,W,1
1371,W,1
1373,W,1
1375,W,1
1377,T,6
1378,W,1
1380,W,1
1382,L,2
1384,W,1
1386,W,1
1388,L,2
1391,W,1
1392,L,2
1393,W,1
1396,W,1
1398,L,2
1399,W,1
1404,T,5
1406,T,4
1409,W,1
1410,W,1
1411,L,0
1415,W,1
1419,W,1
1421,L,2
1422,W,1
1423,L,0
1425,W,1
1427,T,2
1432,L,0
1434,L,0
1440,L,0
1445,L,0
1447,L,0
1453,L,0
1458,T,8
1459,W,5
1461,W,5
1463,L,4
1465,T,6
1467,W,5
1469,L,4
1472,W,1
1473,T,6
1474,W,3
1477,L,4
1479,T,6
1480,W,1
1485,W,5
1487,T,6
1490,W,3
1491,T,6
1492,W,3
1496,W,3
1500,W,3
1502,W,3
1503,T,6
1504,W,1
1506,W,1
1508,W,3
1510,W,3
1513,W,5
1515,W,5
1516,L,4
1521,W,5
1522,L,4
1524,W,1
1526,L,0
1528,W,3
1534,W,3
1539,T,7
1541,T,6
1544,W,1
1545,T,6
1546,T,5
1550,W,1
1554,T,5
1556,T,4
1557,T,6
1558,W,3
1560,T,5
1562,W,1
1564,W,1
1568,T,5
1572,T,5
1574,W,1
1583,T,3
1584,T,5
1586,W,1
1589,L,2
1590,W,1
1591,L,2
1593,T,6
1594,T,5
1596,W,1
1598,L,0
1600,W,1
1602,W,1
1604,L,0
1608,T,4
1609,T,3
1612,W,1
1614,W,1
1615,L,2
1621,T,6
1623,L,4
1624,W,1
1629,T,6
1630,T,5
1632,W,3
1634,L,2
1636,T,4
1642,L,0
1647,L,4
1648,W,1
1650,W,1
1652,L,2
1654,L,2
1656,W,3
1658,T,4
1661,W,1
1662,T,4
1663,W,1
1666,L,0
1668,L,0
1678,W,1
1684,W,1
1686,W,1
1687,L,0
1701,W,5
1703,L,4
1706,W,1
1707,T,6
1708,W,3
1712,W,1
1716,W,5
1718,W,1
1719,T,6
1720,W,1
1722,W,1
1724,L,2
1726,W,3
1730,W,3
1734,W,3
1736,W,1
1745,L,2
1746,W,1
1748,W,1
1751,W,1
1752,W,1
1753,W,1
1755,T,6
1756,T,5
1758,W,1
1760,L,0
1762,W,3
1764,W,1
1766,L,0
1770,W,1
1771,T,3
1774,T,4
1776,L,2
1777,W,1
1784,W,1
1788,T,5
1790,W,1
1799,W,1
1800,T,5
1802,W,1
1805,W,1
1806,W,1
1807,L,2
1817,L,0
1829,L,0
1833,L,0
1836,W,1
1838,L,0
1842,T,4
1843,T,3
1851,W,1
1853,L,0
1854,T,4
1855,T,3
1857,W,1
1859,L,0
1861,W,1
1863,L,4
1864,W,1
1866,W,1
1868,L,2
1870,L,2
1872,W,3
1874,W,1
1877,W,1
1878,W,1
1879,W,1
1882,L,0
1884,L,0
1890,W,1
1892,L,2
1895,W,1
1896,L,2
1897,W,1
1901,W,1
1905,W,1
1907,W,1
1908,L,0
1913,L,0
1915,L,0
1918,W,3
1920,L,2
1921,W,1
1926,W,1
1927,L,2
1929,W,1
1931,L,0
1933,W,1
1939,L,0
1945,T,6
1947,T,6
1948,W,3
1953,T,6
1954,T,5
1956,W,5
1958,L,4
1960,T,4
1966,L,2
1971,T,6
1972,W,3
1974,W,3
1976,T,4
1978,L,4
1980,T,5
1982,T,4
1985,W,3
1986,T,4
1987,W,3
1990,L,2
1992,L,2
1993,W,1
2002,W,1
2008,W,1
2010,W,1
2011,L,0
2025,T,6
2026,W,3
2028,T,5
2030,W,1
2032,W,1
2034,T,5
2036,T,4
