Tic-Tac-Toe
Position,Value,Remoteness
0,T,9
2,T,8
5,W,5
6,T,8
7,T,7
11,W,5
17,W,5
23,T,6
33,W,5
35,L,4
44,W,3
45,W,5
47,L,4
50,W,3
51,W,5
52,L,4
61,T,6
63,W,5
65,L,4
68,W,1
69,W,5
70,W,3
73,T,6
75,T,6
76,W,3
83,T,7
87,T,7
89,T,6
98,T,5
101,T,6
104,T,5
116,W,1
128,W,1
132,W,1
134,L,0
141,T,6
142,T,5
146,W,1
150,T,5
152,W,1
153,T,6
154,T,5
156,T,5
158,W,1
160,W,1
162,T,8
163,T,7
165,W,5
167,L,4
169,T,6
173,T,6
176,W,1
178,W,1
194,W,1
195,L,4
196,W,1
200,W,1
204,W,1
206,L,2
207,L,4
208,W,1
210,W,1
212,L,2
214,W,1
225,T,6
226,W,1
228,W,1
230,L,2
232,L,2
238,L,2
278,W,1
290,W,1
296,L,0
297,T,7
299,T,6
302,W,1
303,T,6
304,T,5
308,W,1
312,W,5
314,W,1
315,T,6
316,T,5
318,W,3
320,T,4
322,T,4
380,W,1
384,W,3
386,L,2
395,W,1
396,W,3
398,L,2
401,W,1
402,T,4
403,T,3
434,W,1
438,W,1
440,L,2
449,W,1
452,L,2
455,W,1
459,T,6
460,T,5
462,W,3
464,L,2
466,T,4
468,T,5
470,W,1
473,W,1
474,W,1
475,W,1
478,T,4
480,T,4
481,W,1
541,W,5
543,W,5
544,W,1
550,W,1
554,L,2
556,W,3
621,W,5
622,L,4
624,L,4
626,W,1
628,W,1
632,W,1
635,W,1
637,L,2
706,L,0
712,L,0
746,W,3
747,W,5
749,L,4
752,W,3
753,W,5
754,L,4
776,W,1
780,W,1
782,L,0
798,W,3
800,W,1
801,T,6
802,W,3
804,W,3
806,W,3
808,W,3
830,W,1
834,W,1
836,L,0
881,L,0
882,T,5
884,T,4
887,T,3
888,T,4
889,T,3
902,W,1
906,W,1
908,L,2
909,T,6
910,T,5
912,W,3
914,T,4
916,W,1
935,W,1
936,W,3
938,L,2
941,W,1
942,W,1
943,L,0
960,L,2
961,W,1
964,T,4
966,T,4
967,W,1
980,W,1
992,W,1
996,W,1
998,L,0
1028,T,5
1032,T,5
1034,W,3
1043,L,2
1044,T,5
1046,T,4
1049,T,3
1050,T,4
1051,T,3
1115,W,1
1127,W,1
1131,W,1
1133,L,0
1136,W,1
1140,W,1
1142,L,2
1151,W,1
1154,L,2
1157,W,1
1158,L,2
1159,W,1
1169,W,1
1181,W,1
1185,W,1
1187,L,0
1190,W,3
1193,W,1
1194,T,4
1195,W,1
1199,W,1
1203,W,1
1205,W,1
1206,T,4
1207,T,3
1209,T,3
1211,T,2
1213,T,2
1217,T,6
1220,W,3
1221,W,5
1222,L,4
1226,W,3
1230,W,3
1232,W,1
1234,W,1
1238,T,4
1240,W,1
1244,W,3
1248,W,5
1250,L,4
1259,W,3
1260,W,1
1262,L,2
1265,W,1
1266,W,1
1267,L,0
1270,W,1
1272,W,1
1274,W,3
1276,W,3
1278,W,1
1280,W,1
1283,W,1
1284,W,1
1285,W,1
1288,L,2
1290,L,2
1291,W,1
1298,W,3
1302,W,3
1304,W,1
1313,L,0
1316,L,2
1319,W,1
1320,L,2
1321,W,1
1331,W,1
1343,W,1
1347,W,1
1349,L,0
1352,W,1
1355,L,2
1356,W,1
1357,L,2
1361,L,0
1365,L,0
1368,W,3
1369,W,1
1371,W,1
1373,W,1
1375,W,1
1378,W,1
1382,L,2
1384,W,1
1388,L,2
1391,W,1
1392,L,2
1393,W,1
1396,W,1
1399,W,1
1406,T,4
1409,W,1
1410,W,1
1411,L,0
1415,W,1
1419,W,1
1421,L,2
1422,W,1
1423,L,0
1425,W,1
1427,T,2
1432,L,0
1434,L,0
1440,L,0
1445,L,0
1447,L,0
1453,L,0
1477,L,4
1479,T,6
1480,W,1
1506,W,1
1508,W,3
1510,W,3
1557,T,6
1558,W,3
1560,T,5
1562,W,1
1564,W,1
1589,L,2
1590,W,1
1591,L,2
1642,L,0
1668,L,0
1703,L,4
1706,W,1
1707,T,6
1708,W,3
1712,W,1
1716,W,5
1718,W,1
1720,W,1
1722,W,1
1724,L,2
1726,W,3
1730,W,3
1734,W,3
1736,W,1
1745,L,2
1746,W,1
1748,W,1
1751,W,1
1752,W,1
1753,W,1
1758,W,1
1760,L,0
1762,W,3
1766,L,0
1770,W,1
1771,T,3
1774,T,4
1776,L,2
1777,W,1
1784,W,1
1788,T,5
1790,W,1
1799,W,1
1802,W,1
1805,W,1
1806,W,1
1807,L,2
1817,L,0
1829,L,0
1833,L,0
1838,L,0
1842,T,4
1843,T,3
1851,W,1
1853,L,0
1854,T,4
1855,T,3
1857,W,1
1859,L,0
1861,W,1
1866,W,1
1868,L,2
1870,L,2
1874,W,1
1877,W,1
1878,W,1
1879,W,1
1882,L,0
1884,L,0
1892,L,2
1895,W,1
1896,L,2
1897,W,1
1901,W,1
1905,W,1
1907,W,1
1908,L,0
1913,L,0
1915,L,0
1920,L,2
1921,W,1
1927,L,2
1929,W,1
1931,L,0
1933,W,1
1939,L,0
1948,W,3
1954,T,5
1958,L,4
1960,T,4
1966,L,2
1974,W,3
1976,T,4
1978,L,4
1982,T,4
1985,W,3
1986,T,4
1987,W,3
1990,L,2
1992,L,2
1993,W,1
2002,W,1
2008,W,1
2010,W,1
2011,L,0
2030,W,1
2032,W,1
2036,T,4
2039,W,1
2040,T,4
2041,T,3
2044,W,1
2047,W,1
2054,T,4
2057,T,3
2058,T,4
2059,W,3
2063,T,3
2067,T,3
2069,T,2
2071,W,1
2073,W,1
2075,W,1
2077,W,1
2082,W,1
2083,L,2
2089,L,2
2091,W,1
2093,L,0
2095,W,1
2101,W,1
2110,W,1
2116,W,1
2119,L,0
2136,T,4
2137,W,1
2143,T,3
2145,T,3
2147,T,2
2149,T,2
2155,L,0
2490,W,3
2492,L,2
2501,W,1
2504,L,2
2507,W,1
2508,T,4
2509,T,3
2573,W,1
2585,W,1
2589,W,1
2591,L,0
2627,W,1
2639,W,1
2645,L,0
2652,W,3
2653,T,3
2657,W,1
2661,T,3
2663,W,1
2665,W,1
2667,W,1
2669,L,2
2671,T,2
2730,W,1
2732,W,1
2734,T,4
2738,L,2
2741,W,1
2743,W,1
2813,L,0
2814,W,3
2815,T,3
2819,W,1
2825,W,1
2892,L,0
2903,L,0
2905,L,0
3233,W,1
3237,W,1
3239,L,0
3341,W,1
3347,L,0
3392,W,1
3395,W,1
3398,W,1
3399,W,1
3400,T,1
3410,W,1
3419,L,2
3422,W,1
3425,W,1
3427,W,1
3437,W,1
3449,W,1
3453,W,1
3455,L,0
3461,W,1
3462,W,1
3463,W,1
3467,W,1
3471,W,1
3473,W,1
3475,W,1
3477,W,1
3479,W,1
3481,W,1
3491,W,1
3503,W,1
3509,L,0
3543,L,2
3545,W,1
3554,L,0
3557,W,1
3560,L,0
3561,W,1
3562,W,1
3569,W,1
3571,W,1
3575,W,1
3581,W,1
3583,W,1
3587,W,1
3589,W,1
3597,L,2
3599,W,1
3608,W,1
3611,W,1
3614,W,1
3615,W,1
3616,L,0
3623,L,0
3625,L,0
3629,L,0
3633,L,0
3637,L,0
3639,L,0
3908,L,2
3911,W,1
3913,W,1
3939,W,1
3941,L,0
3967,T,2
3989,W,1
3995,L,0
4047,T,2
4048,T,1
4073,L,0
4075,L,0
4101,L,0
4136,W,1
4138,T,4
4142,T,4
4145,W,1
4147,T,3
4150,L,2
4153,W,1
4163,W,3
4164,T,4
4165,W,3
4169,T,3
4173,T,3
4175,T,2
4177,W,1
4181,W,1
4183,L,2
4195,W,1
4199,L,0
4201,T,2
4207,W,1
4217,L,0
4219,T,3
4223,W,1
4229,T,2
4231,W,1
4237,W,1
4245,W,3
4247,T,2
4256,T,1
4259,W,1
4262,L,0
4263,L,2
4264,W,1
4273,W,1
4277,L,0
4281,T,2
4282,T,1
4285,W,1
4288,L,0
4303,W,1
4307,L,2
4309,T,2
4315,L,0
4325,L,2
4327,T,2
4331,T,2
4334,W,1
4335,T,2
4336,T,1
4339,L,0
4357,L,0
4924,W,1
4927,L,0
5005,L,2
5009,W,1
5011,W,1
5600,W,1
5603,W,3
5605,W,1
5608,W,1
5611,W,1
5633,W,1
5635,L,0
5639,T,2
5659,W,1
5665,L,2
5681,L,0
5689,W,1
5693,T,2
5695,W,1
5714,L,0
5717,L,2
5720,W,1
5722,L,0
5740,L,0
5743,W,1
5746,W,1
5761,W,1
5765,L,2
5767,L,0
5773,W,1
5792,W,1
5800,L,0
6367,L,2
6421,W,1
6448,W,1
7310,W,1
7316,L,0
7361,L,2
7364,W,1
7367,T,3
7369,L,2
7445,W,1
7451,L,0
7469,W,1
7472,W,1
7475,T,3
7499,W,1
7505,L,0
7523,W,1
7525,W,1
7529,W,1
7531,W,1
7607,W,1
7613,L,0
7766,L,0
7769,W,1
7772,T,1
7774,W,1
7841,W,1
7847,W,1
7853,W,1
7928,L,0
7931,W,1
